Sentence,Target Index,Lemma,Category,Inflection Label,Word Form,Dimension,Source Type
I ran yesterday.,1,rin,Verb,past,ran,Tense/Aspect,Template
I relied yesterday.,1,rely,Verb,past,relied,Tense/Aspect,Template
I understood yesterday.,1,understand,Verb,past,understood,Tense/Aspect,Template
I submerged yesterday.,1,submerge,Verb,past,submerged,Tense/Aspect,Template
I specialized yesterday.,1,specialize,Verb,past,specialized,Tense/Aspect,Template
I stayed yesterday.,1,stay,Verb,past,stayed,Tense/Aspect,Template
I injured yesterday.,1,injure,Verb,past,injured,Tense/Aspect,Template
I derived yesterday.,1,derive,Verb,past,derived,Tense/Aspect,Template
I sought yesterday.,1,seech,Verb,past,sought,Tense/Aspect,Template
I rescued yesterday.,1,rescue,Verb,past,rescued,Tense/Aspect,Template
I divided yesterday.,1,divide,Verb,past,divided,Tense/Aspect,Template
I bid yesterday.,1,bid,Verb,past,bid,Tense/Aspect,Template
I bit yesterday.,1,bite,Verb,past,bit,Tense/Aspect,Template
I opined yesterday.,1,opine,Verb,past,opined,Tense/Aspect,Template
I pleased yesterday.,1,please,Verb,past,pleased,Tense/Aspect,Template
I forecast yesterday.,1,forecast,Verb,past,forecast,Tense/Aspect,Template
I involved yesterday.,1,involve,Verb,past,involved,Tense/Aspect,Template
I decorated yesterday.,1,decorate,Verb,past,decorated,Tense/Aspect,Template
I interrupted yesterday.,1,interrupt,Verb,past,interrupted,Tense/Aspect,Template
I earned yesterday.,1,earn,Verb,past,earned,Tense/Aspect,Template
I attached yesterday.,1,attach,Verb,past,attached,Tense/Aspect,Template
I dropped yesterday.,1,drop,Verb,past,dropped,Tense/Aspect,Template
I lived yesterday.,1,live,Verb,past,lived,Tense/Aspect,Template
I failed yesterday.,1,fail,Verb,past,failed,Tense/Aspect,Template
I established yesterday.,1,establish,Verb,past,established,Tense/Aspect,Template
I proved yesterday.,1,prove,Verb,past,proved,Tense/Aspect,Template
I assisted yesterday.,1,assist,Verb,past,assisted,Tense/Aspect,Template
I taught yesterday.,1,teach,Verb,past,taught,Tense/Aspect,Template
I confirmed yesterday.,1,confirme,Verb,past,confirmed,Tense/Aspect,Template
I quit yesterday.,1,quit,Verb,past,quit,Tense/Aspect,Template
It is sandy than before.,2,sandy,Adjective,comparative,sandy,Degree,Template
It is the sandy one.,3,sandy,Adjective,superlative,sandy,Degree,Template
It is dark than before.,2,dark,Adjective,comparative,dark,Degree,Template
It is the dark one.,3,dark,Adjective,superlative,dark,Degree,Template
It is young than before.,2,young,Adjective,comparative,young,Degree,Template
It is the young one.,3,young,Adjective,superlative,young,Degree,Template
It is black than before.,2,black,Adjective,comparative,black,Degree,Template
It is the black one.,3,black,Adjective,superlative,black,Degree,Template
It is large than before.,2,large,Adjective,comparative,large,Degree,Template
It is the large one.,3,large,Adjective,superlative,large,Degree,Template
It is riley than before.,2,riley,Adjective,comparative,riley,Degree,Template
It is the riley one.,3,riley,Adjective,superlative,riley,Degree,Template
It is strict than before.,2,strict,Adjective,comparative,strict,Degree,Template
It is the strict one.,3,strict,Adjective,superlative,strict,Degree,Template
It is dwarf than before.,2,dwarf,Adjective,comparative,dwarf,Degree,Template
It is the dwarf one.,3,dwarf,Adjective,superlative,dwarf,Degree,Template
It is front than before.,2,front,Adjective,comparative,front,Degree,Template
It is the front one.,3,front,Adjective,superlative,front,Degree,Template
It is weak than before.,2,weak,Adjective,comparative,weak,Degree,Template
It is the weak one.,3,weak,Adjective,superlative,weak,Degree,Template
It is lengthy than before.,2,lengthy,Adjective,comparative,lengthy,Degree,Template
It is the lengthy one.,3,lengthy,Adjective,superlative,lengthy,Degree,Template
It is away than before.,2,away,Adjective,comparative,away,Degree,Template
It is the away one.,3,away,Adjective,superlative,away,Degree,Template
It is soon than before.,2,soon,Adjective,comparative,soon,Degree,Template
It is the soon one.,3,soon,Adjective,superlative,soon,Degree,Template
It is hard than before.,2,hard,Adjective,comparative,hard,Degree,Template
It is the hard one.,3,hard,Adjective,superlative,hard,Degree,Template
It is loud than before.,2,loud,Adjective,comparative,loud,Degree,Template
It is the loud one.,3,loud,Adjective,superlative,loud,Degree,Template
It is swift than before.,2,swift,Adjective,comparative,swift,Degree,Template
It is the swift one.,3,swift,Adjective,superlative,swift,Degree,Template
It is strong than before.,2,strong,Adjective,comparative,strong,Degree,Template
It is the strong one.,3,strong,Adjective,superlative,strong,Degree,Template
It is healthy than before.,2,healthy,Adjective,comparative,healthy,Degree,Template
It is the healthy one.,3,healthy,Adjective,superlative,healthy,Degree,Template
It is good than before.,2,good,Adjective,comparative,good,Degree,Template
It is the good one.,3,good,Adjective,superlative,good,Degree,Template
It is grey than before.,2,grey,Adjective,comparative,grey,Degree,Template
It is the grey one.,3,grey,Adjective,superlative,grey,Degree,Template
It is punk than before.,2,punk,Adjective,comparative,punk,Degree,Template
It is the punk one.,3,punk,Adjective,superlative,punk,Degree,Template
It is huge than before.,2,huge,Adjective,comparative,huge,Degree,Template
It is the huge one.,3,huge,Adjective,superlative,huge,Degree,Template
It is Greek than before.,2,Greek,Adjective,comparative,Greek,Degree,Template
It is the Greek one.,3,Greek,Adjective,superlative,Greek,Degree,Template
It is fierce than before.,2,fierce,Adjective,comparative,fierce,Degree,Template
It is the fierce one.,3,fierce,Adjective,superlative,fierce,Degree,Template
It is poor than before.,2,poor,Adjective,comparative,poor,Degree,Template
It is the poor one.,3,poor,Adjective,superlative,poor,Degree,Template
It is tight than before.,2,tight,Adjective,comparative,tight,Degree,Template
It is the tight one.,3,tight,Adjective,superlative,tight,Degree,Template
It is cool than before.,2,cool,Adjective,comparative,cool,Degree,Template
It is the cool one.,3,cool,Adjective,superlative,cool,Degree,Template
It is sweet than before.,2,sweet,Adjective,comparative,sweet,Degree,Template
It is the sweet one.,3,sweet,Adjective,superlative,sweet,Degree,Template
It is sick than before.,2,sick,Adjective,comparative,sick,Degree,Template
It is the sick one.,3,sick,Adjective,superlative,sick,Degree,Template
It is sure than before.,2,sure,Adjective,comparative,sure,Degree,Template
It is the sure one.,3,sure,Adjective,superlative,sure,Degree,Template
It is crazy than before.,2,crazy,Adjective,comparative,crazy,Degree,Template
It is the crazy one.,3,crazy,Adjective,superlative,crazy,Degree,Template
It is camp than before.,2,camp,Adjective,comparative,camp,Degree,Template
It is the camp one.,3,camp,Adjective,superlative,camp,Degree,Template
It is deep than before.,2,deep,Adjective,comparative,deep,Degree,Template
It is the deep one.,3,deep,Adjective,superlative,deep,Degree,Template
It is skill than before.,2,skill,Adjective,comparative,skill,Degree,Template
It is the skill one.,3,skill,Adjective,superlative,skill,Degree,Template
It is angry than before.,2,angry,Adjective,comparative,angry,Degree,Template
It is the angry one.,3,angry,Adjective,superlative,angry,Degree,Template
